SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,76 Cedar St #5,Seattle,WA,98121,599000,1,1.5,Belltown,918,NA,2008,2,653,925,Active,NA,NA,https://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-5/home/12537364,NWMLS as Distributed by MLS Grid,2311920,N,Y,47.6154974,-122.3515229
MLS Listing,NA,Condo/Co-op,1545 NW 57th St #505,Seattle,WA,98107,425000,1,1,Ballard,669,NA,2004,3,635,470,Active,November-23-2024 12:00 PM,November-23-2024 02:00 PM,https://www.redfin.com/WA/Seattle/1545-NW-57th-St-98107/unit-505/home/146979663,NWMLS as Distributed by MLS Grid,2308768,N,Y,47.6699146,-122.3784177
MLS Listing,NA,Condo/Co-op,10601 Bagley Ave N #201,Seattle,WA,98133,340000,1,1.5,Northgate,852,NA,1979,3,399,322,Active,NA,NA,https://www.redfin.com/WA/Seattle/10601-Bagley-Ave-N-98133/unit-201/home/31487,NWMLS as Distributed by MLS Grid,2310456,N,Y,47.7061522,-122.3329089
MLS Listing,NA,Condo/Co-op,590 1st Ave S #607,Seattle,WA,98104,589000,1,1,Pioneer Square,821,NA,2018,3,717,880,Active,NA,NA,https://www.redfin.com/WA/Seattle/590-1st-Ave-S-98104/unit-607/home/145709146,NWMLS as Distributed by MLS Grid,2311696,N,Y,47.5959742,-122.3336151
MLS Listing,NA,Condo/Co-op,11550 Stone Ave N #103,Seattle,WA,98133,293000,1,1,Northgate,648,NA,2000,4,452,426,Active,NA,NA,https://www.redfin.com/WA/Seattle/11550-Stone-Ave-N-98133/unit-103/home/2078147,NWMLS as Distributed by MLS Grid,2311700,N,Y,47.713939,-122.341618
MLS Listing,NA,Condo/Co-op,2727 Franklin Ave E #102,Seattle,WA,98102,326000,1,1,Eastlake,466,NA,1988,4,700,380,Active,NA,NA,https://www.redfin.com/WA/Seattle/2727-Franklin-Ave-E-98102/unit-102/home/43837,NWMLS as Distributed by MLS Grid,2310064,N,Y,47.6452925,-122.3249062
MLS Listing,NA,Condo/Co-op,3045 20th Ave W #108,Seattle,WA,98199,380000,1,1,Magnolia,785,NA,1988,6,484,590,Active,NA,NA,https://www.redfin.com/WA/Seattle/3045-20th-Ave-W-98199/unit-108/home/12306186,NWMLS as Distributed by MLS Grid,2311379,N,Y,47.6479092,-122.382403
MLS Listing,NA,Condo/Co-op,76 Cedar St #405,Seattle,WA,98121,535000,1,1.5,Belltown,918,NA,2008,7,583,813,Active,NA,NA,https://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-405/home/12537395,NWMLS as Distributed by MLS Grid,2310275,N,Y,47.6154974,-122.3515229
MLS Listing,NA,Condo/Co-op,1000 Union St #205,Seattle,WA,98101,295000,1,1,First Hill,574,NA,1965,7,514,475,Active,November-23-2024 02:00 PM,November-23-2024 06:00 PM,https://www.redfin.com/WA/Seattle/1000-Union-St-98101/unit-205/home/16912,NWMLS as Distributed by MLS Grid,2310347,N,Y,47.6123139,-122.329039
MLS Listing,NA,Single Family Residential,5002 46 Ave SW,Seattle,WA,98136,749000,1,1,Alaska Junction,1400,5100,1911,8,535,NA,Active,November-23-2024 12:00 PM,November-23-2024 02:00 PM,https://www.redfin.com/WA/Seattle/5002-46th-Ave-SW-98136/home/153430,NWMLS as Distributed by MLS Grid,2310109,N,Y,47.5573904,-122.3908695
